state,county,gisjoin,pop_enslaved_1860,pop_total_1860,pop_total_2010,pop_black_2010,pop_white_2010,income_black_2010,income_white_2010,pct_pop_enslaved_1860,had_rosenwald_school
Alabama,Autauga,G0100010,9607,16739,54571,9643,42855,28082,58592,57.3929147499851,1
Alabama,Baldwin,G0100030,3714,7530,182265,17105,156153,28579,52455,49.3227091633466,1
Alabama,Barbour,G0100050,16150,30812,27457,12875,13180,21101,42570,52.414643645333,1
Alabama,Bibb,G0100070,3842,11894,22915,5047,17381,21153,43874,32.3020010089121,1
Alabama,Blount,G0100090,666,10865,57322,761,53068,21070,46124,6.12977450529222,1
Alabama,Butler,G0100130,6818,18122,20947,9095,11399,21309,38202,37.6227789427216,1
Alabama,Calhoun,G0100150,4342,21539,118572,24382,88840,22163,42775,20.1587817447421,1
Alabama,Chambers,G0100170,11849,23214,34215,13257,20112,23236,38009,51.0424743689153,1
Alabama,Cherokee,G0100190,3002,18360,25989,1208,24081,19375,41102,16.3507625272331,1
Alabama,Choctaw,G0100230,7094,13877,13859,6012,7731,19985,40032,51.1205591986741,1
Alabama,Clarke,G0100250,7436,15049,25833,11336,14070,15629,43402,49.4119210578776,1
Alabama,Coffee,G0100310,1417,9623,49948,8359,37330,22500,47127,14.7251376909488,1
Alabama,Conecuh,G0100350,4882,11311,13228,6149,6788,18626,41560,43.1615241800018,1
Alabama,Coosa,G0100370,5212,19273,11539,3582,7648,26520,40646,27.0430135422612,1
Alabama,Covington,G0100390,821,6469,37765,4716,32022,19740,37358,12.6912969547071,1
Alabama,Dale,G0100450,1809,12197,50251,9679,37236,29269,47440,14.8315159465442,1
Alabama,Dallas,G0100470,25760,33625,43820,30423,12769,18784,43973,76.6096654275093,1
Alabama,DeKalb,G0100490,848,10705,71109,1078,60087,25585,34990,7.92153199439514,0
Alabama,Fayette,G0100570,1703,12850,17241,1969,14910,20321,36482,13.2529182879377,1
Alabama,Franklin,G0100590,8495,18627,31704,1228,26320,20833,36250,45.6058409835186,1
Alabama,Greene,G0100630,23598,30859,9045,7370,1575,19715,47944,76.4703976149584,1
